source,division,unit,department,job_title,job_grade,job_category,job_objective,responsibilities,num_responsibilities
JD,Retail & Branch Banking,Branch,District,Branch Manager Special Branch,15.0,Middle Level Management: MLM,"To ensure the overall Banking operation activities of the branch performed as per the Banks policy, procedure, guideline and other pertinent regulation to achieve the Banks vision and strategic objectives.","['Plan, coordinate and manage the overall Banking operation activities in the branch', 'Set annual operational plan and operational budget of the branch for retail, wholesale and IFB businesses; and digital banking channels', 'Create awareness and clarity to staff of the branch about the Banks strategy, plans and corporate views', 'Ensure required resources are satisfied at the branch', 'Conduct daily sales and operational huddle and weekly meetings with staff of the Branch', 'Establish and lead sales, service, and operation teams of the branch', 'Oversee lobby area is managed by staff of the Bank with good knowledge of products & services and having good communication skill', 'Oversee the branch maintains sufficient cash balance within the cash holding limits', 'Oversee security operations and personnels of the branch', 'Make operational risk identification, assessment, measurement and put in place controlling and mitigation mechanisms, and report operational risks to district office regularly', 'Ensure the branch appearance is suitable to provide sales, service and operational activities', 'Review and guide periodic sales target and strategy of the branch', 'Create partnership with individuals, organizations and institutions for customer acquisition', 'Ensure the Banks distribution channels (branch, digital, agents, merchants, etc.) perform as planned/designed and identify challenges, resolve any challenges or escalate to the District organ for support', 'Identify unmet needs of customer which are beyond the influence of the branch and escalate to the District and HO organs', 'Ensure in-branch transactions are minimized as much as possible', 'Ensure ATMs maintain the minimum acceptable uptime at all times and ATM reconciliation is performed latest by the next business day', 'Ensure clear separation of conventional and IFB operations at the branch', 'Have a coaching and feedback session with branch staff directly reporting to him/her', 'Identify and address major sales and operational challenges', 'Ensure customer and transactional records are kept up-to-date', 'Sign on loan and mortgage contracts with customers and staff of the Bank', 'Keep safe custody of loan security items (e.g. LHC, vehicle certificate of ownership, etc.)', 'Ensure suspense accounts of the branch are at acceptable level', 'Keep non-performing loans position of the branch is zero or within tolerable limit', 'Lead marketers and sales agent of the branch', 'Ensure customer queries and complaints are properly handled in time', 'Analyze customer complaints and take strategic action to minimize future instances', 'Facilitate efficient and high-quality service to customers', 'Manage and maintains positive relationship with customers and staffs', 'Promote new and existing Banks products, service and alternative channels to the customers', 'Promote the Banks image through pro-active handling of customer needs and maximizes their satisfaction', 'Ensure that all performers comply with regulatory standards, Banks policies, procedure, code of conduct and practices', 'Ensure the fulfillment of overall tasks that have given to execute customer-focused service in the process', 'Adhere strictly to compliance and operational risk controls in accordance with the Banks and regulatory standards, policies and practices', 'Ensure that tasks are completed to the agreed standards', 'Work closely with the branch teams in annual plan development, implementation, and quality assurance', 'Enhance the Branchs competitive position', 'Control, review and consolidate Branchs budget', 'Perform regular assessment of all branch related work practices', 'Evaluate annual plans, such as operational plan and performance targets', 'Support Branch staff in developing, managing, and enhancing customer relationships', 'Ensure compliance and monitoring is in place in accordance with Banks policies, procedures, and guidelines; and rules, regulations, and standards', 'Regularly reports to concerned district organs about the branchs operation, performance, challenges and risks.', 'Ensures directions given by HO and District organs are strictly implemented in the branch', 'Collaborates with other branch managers of the Bank to facilitate coordination and integration', 'Develop staff capacity development through coaching and mentoring and facilitate formal training', 'Instill corporate thinking in staff of the branch', 'Ensure timely rectification of audit findings', 'Check and approves balance confirmation as appropriate', 'Represent the Bank in social and official affairs and handle correspondences', 'Co-work with Client Service Team at District and HO', 'Ensure that all document related to Credit and International Banking are properly and timely forwarded to the respective processing centers', 'Give weekly, monthly and quarterly monthly performance target to staff directly reporting to him/her', 'Perform other assigned duties.']",55
JD,Retail & Branch Banking,Branch,District,Branch Business Manager,13.0,,"To ensure the effectiveness of the branch sales, service and marketing activities, service at the branch meet or exceed customers expectations and sales and service operations are performed in compliance with the Banks policy, procedure, guideline and other pertinent regulation.",[],0
JD,Retail & Branch Banking,Branch,District,Customer Service Manager -Sales,12.0,,"To sale Bank products and services, mobilizes resources, expands service accessibility through alternatives channels, attend customer requests and create culture that meets or exceeds customers expectation as per the Banks policy, procedure, guideline and other pertinent regulation.",[],0
JD,Retail & Branch Banking,Branch,District,Customer Service Manager -Service,12.0,,"To serve the Banks customers, mobilizes resources, expands branch accessibility through alternatives channels, attained customers request and provides efficient and high quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation.",[],0
JD,Retail & Branch Banking,,District,Senior Branch Banking Officer-Sales,,Experienced Professional: EP,,"['Responsible for end-to-end sales of the Banks products and services to Retail and Wholesale customers', 'Handle digital channel subscription and utilization', 'Interact directly with customers throughout all phases of the sales processes', 'Identify customers need, propose/plan relevant products or services and ensure that customers have positive experiences from start to finish', 'Perform sales of Bank products, services and alternatives channels to retail and wholesale customers', 'Manage relationships with customers, serving as a key point of contact, from initial lead outreach to when a purchase is ultimately made', 'Make preparation, approach customers, make presentation, handle objections and close sales as the selling process passes through steps (starting from proposing up to closing and follow up)', 'Manage sale pipeline (awareness, interest, decision and action)', 'Undertake indoor and outdoor sales of products/services including digital penetration', 'Handle all prospective and existing customers inquiries in relation with sales', 'Identify potential customers, connect with leads and advise on a solution', 'Leverage central data, customer service team and other information for lead generation', 'Handle customer profiling and portfolio management', 'Handle agents and merchants recruitment as well as management in collaboration with the Relationship Team', 'Lead, train, coach and monitor performance of agents and merchants', 'Arrange meeting with customers and make calls', 'Train operation and junior staff about new products and services', 'Respond/troubleshoot digital banking technical problems at agent and merchant locations in consultation with IS', 'Discharge any product/service-related sales activities referred by the Branch Manager/Business Manager/Customer Service Manager Sales', 'Report periodically to the Customer Service Manager-Sales', 'Perform other assigned duties.']",21
JD,Retail & Branch Banking,,District,Senior Branch Banking Officer-Service,11.0,Experienced Professional: EP,,[],0
JD,Retail & Branch Banking,Branch,District,Branch Banking Officer,9.0,,"To sale Bank products and services, expands branch digital banking users, attained customers request and provides efficient and high-quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation.",[],0
JD,Retail & Branch Banking,,District,Branch Banking Officer-Service,9.0,Professional: P,"To serve the Banks customers, mobilizes resources, expands branch accessibility through alternatives channels, attained customers request and provides efficient and high-quality service to customers as per the Banks policy, procedure, guideline and other pertinent regulation.",[],0
JD,Retail & Branch Banking,,District,Retail Customer Relationship Manager,12.0,Experienced Professional: EP,"To attend Affluent Retail customers request at the branch, promote CBEs products and service, recruit new potential Affluent Retail customersso as to achieve organizational vision and strategic objectives.","['Strengthen relationship with Affluent Retail Customers', 'Maintain and managed Affluent Retail Customers profiling and portfolio', 'Serve as single point of contract for affluent customers', 'Provide assistance for Retail Affluent customers in using products and services', 'Selling of products and services to Retail Affluent Customers.', 'Handle the Affluent Retail customers request', 'Process all Affluent Retail customers requests', 'facilitate the provision of efficient and high quality service to Affluent Retail customers', 'Enhance the Banks image through pro-active customer driven servicing of their needs to maximize customer satisfaction', 'Ensure the fulfillment of overall tasks that have given to execute customer-focused service in the process', 'Ensure the needs of key customer are met without compromising business efficiency', 'Adhere strictly to compliance and operational risk controls in accordance with the Banks and regulatory standards, policies and practices', 'Perform the tasks within the agreed standards delivery time', 'Participate in resource mobilization initiatives of the Branch', 'Receive any Affluent Retail customers applications, verifies signature, conducts preliminary checking of applications and supporting documents against check list, and forwards to the concerned Banks organ for processing', 'Provide information and advises to customers', 'Promote CBE products and services to Affluent Retail customers', 'Recruit new Affluent Retail customers', 'Identify customers needs and forwards any new product ideas to Retail Business Development Department', 'Approve sales contracts', 'Perform other assigned duties.']",21
JD,Retail & Branch Banking,,District,Wholesale Customer Relationship Manager,12.0,Experienced Professional: EP,,[],0
