division,department,perspective,strategic_objective,division_objective,department_objective,unit_objective
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,_,_,Utilization of budget as per approved limit,Proper management of controllable & other expenses as per the Budget
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,_,_,_,_
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Sustainable Profitability,Operational Efficiency and Cost Management,Increasing revenue and profitability through effective management of Merchant and Agents while maintaining cost efficiency,Provide better incentive structures to merchant and Agents
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Sustainable Profitability,Operational Efficiency and Cost Management,_,_
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Sustainable Profitability,Operational Efficiency and Cost Management,_,Focus on active Merchant and Agents and direct efforts to improve Value / Volume
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Resource Mobilization,Enhance Revenue Generation,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,Implement/provide kiosk model for rural area agents
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,Implement loyalty program for CBE Birr merchant
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,"Ease the communication channel to branches, Agents and districts for strong relationship building"
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,_,_,Incorporate additional services and use cases on Agency banking
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,_,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,Enhance merchant and agent management product and service,_,Proposed Attractive reward and recognition scheme for agents and merchant
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,Enhance merchant and agent management product and service,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,_,Enhance Customer Experience in the division,Enhance customer engagement and feedback integration,Decentralization of super-agents activation
Digital Banking Division,Merchant and Agent Management,Customer centric,_,Enhance Customer Experience in the division,Enhance customer engagement and feedback integration,Segmentation of agents for marketing fit
Digital Banking Division,Merchant and Agent Management,Digital First,_,_,_,_
Digital Banking Division,Merchant and Agent Management,Digital First,_,_,_,Implement a POS terminal monitoring tool and agent monitoring tools
Digital Banking Division,Merchant and Agent Management,Digital First,_,Enhance Financial Inclusion,_,_
Digital Banking Division,Merchant and Agent Management,Digital First,_,Enhance Financial Inclusion,Focus on unbanked population to avoid agent cannibalization,Integrate Virtual POS functionality with Merchant App/Portal
