division,department,perspective,strategic_objective,division_objective,department_objective,unit_objective
Digital Banking Division,Digital service devlopment,Sustainable Growth,Ensure Sustainable Profitability,Enhance Revenue Generation,Utilization of budget as per approved limit,Proper management of controllable & other expenses as per the Budget
Digital Banking Division,Digital service devlopment,Sustainable Growth,Ensure Resource Mobilization,Enhance Revenue Generation,Implement initiatives to generate planned FCY resource in the department,"Enhance new revenue streams through joint offerings, shared revenue models, or cross-selling opportunities"
Digital Banking Division,Digital service devlopment,Sustainable Growth,Ensure Resource Mobilization,Enhance Revenue Generation,_,_
Digital Banking Division,Digital service devlopment,Customer Centric,Elevate Customer Experience,Elevate Customer Experience on the division,Oversee the creation and enhancement of customer-centric CVPs for digital channels in the department,"Establish reliable, secure, and transparent partnerships that foster trust among customers and partners"
Digital Banking Division,Digital service devlopment,Customer Centric,Elevate Customer Experience,Elevate Customer Experience on the division,Oversee the creation and enhancement of customer-centric CVPs for digital channels in the department,Deliver superior digital value to customers while achieving strategic business benefits for all partners involved
Digital Banking Division,Digital service devlopment,Customer Centric,Elevate Customer Experience,"Translate CVPs into actionable product concepts, journeys, and digital experiences in the division","Drive adoption of customer journey mapping, design thinking, and user testing in service development in the department",Assess partner capabilities and align integrations with service goals and experience standards
Digital Banking Division,Digital service devlopment,Digital First,Increase Digital Banking Penetration,Enhance digital channels functionality & features (Offering diversified and innovative DB product and service),Improves digital channel functionality and features in the department,Collaborate with partners to integrate complementary services efficiently
Digital Banking Division,Digital service devlopment,Digital First,Increase Digital Banking Penetration,Enhance digital channels functionality & features (Offering diversified and innovative DB product and service),Improves digital channel functionality and features in the department,Work closely with IT/Digital Factory teams to align business requirements with technical delivery
Digital Banking Division,Digital service devlopment,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance risk and fraud management in the division,Enhance risk and fraud management in Agent management operations,Conduct regular fraud awareness training for employees and agents
Digital Banking Division,Digital service devlopment,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance risk and fraud management in the division,Enhance risk and fraud management in Agent management operations,Establish robust monitoring and detection mechanisms to identify suspicious activities
Digital Banking Division,Digital service devlopment,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance risk and fraud management in the division,Enhance risk and fraud management in Agent management operations,_
