source,division,supervisor,unit,department,job_title,job_grade,job_category,job_objective,responsibilities,num_responsibilities
JD,Digital Banking,"Manager Internal Control, Manager Digital Banking Reconciliation and Dispute Management, Director Merchant and Agent Management, Director Mobile & Internet Banking, Director Mobile Money, Director Card Banking and Senior planning and support officer.",,,Vice President Digital Banking,18,Senior Management: SM,"To design and implement the digital banking business strategies, plans, and procedures and oversee digital banking services and operations. To foster and enhance the digital banking business of the Bank.","['Designs and develops the digital banking strategies;', 'Proposes strategies to enhance the efficiency of card banking products, agent and merchant network management activities;', 'Oversees the development of new types of online/mobile banking product/services or enhancements on existing products or services based on market demand;', 'Ensures the continuous availability, functionality, and harmonious integration of all digital service channels being deployed by CBE;', 'Supports the work of bank committees, especially the Resource Mobilization and Product Development committees;', 'Analyzes needs, assesses capacities, and proposes to the Product committee new digital payments products and services;', 'Ensures that the necessary and prompt support is provided to the Regional and District teams; Commercial Bank of Ethiopia Job Description', 'Performs regular, annual assessment of all departmental work practices and proposes improvements where necessary;', 'Synchronizes the work and communicate constraints and problems with Customer Account Payment Department (Automated Transfer Services), Regional Offices and EVP -Branch and retail Banking;', 'Keeps the Bank management regularly informed of trends and developments in digital banking products and services;', 'Oversees appropriate risk identification, measurement and management is in place in the operational activities of the division;', 'Coaches and mentors Department Directors;', 'Sets management team objectives, goals, and performance standards and facilitate teams alignment and cascading; evaluates and measures performances and takes appropriate actions;', 'Consolidates and reviews budgets of the divisions and ensures effective and efficient utilization;', 'Performs other duties as assigned.']",15
JD,Digital Banking,"Senior Internal Control Officer, Internal Control Officer, Associate Internal Control Officer II, Associate Internal Control Officer I.",Internal Control,,Manager Internal Control,15,Middle Level Management: MLM,,"['Set team objectives, goals, and performance standards and facilitate teams alignment and goal cascading;', 'Ensure that all the activities and transaction s are done in compliance with the procedures, International Card Business Rules (VISA, Master Card, and CUP) and Eth-Switch business rules.', 'Monthly cheeks inventory of Cars, PINs and Spare parts and custody of all documents.', 'Ensures timely and proper deliv ery of Cards and PINS to the requesting organ and the overall Card Issuance process.', 'Ensures compliance with appropriate laws, regulations, ethical norms and contracts in all Units in the Digital Channels Management.', 'Conduct monthly Internal Control Self -Assessment for the Units in the Digital Channels Management Department and submit the report to the Digital banking -Vice President.', 'Responsible for efficient internal control management system in the Department;', 'Identifies the bottleneck and proposes solution that hinder the Department from achieve its Objective;', 'Identifies, measures and reports the reason why if tasks are not completed as per the standard SDT;', 'Regularly checks and monitors key financial transactions before/after passing transactions; Commercial Bank of Ethiopia Job Description', 'Ensures safeguarding of the banks assets and/or proper utilization of resources;', 'Continuously assess the Units operations in the Department, transactions and work practices and report any deviation to the Director.', 'Prepare daily/Weekly/Monthly/Quarterly report on major findings as case may be and submit report to the Unit Manager and by copy to Digital banking -Vice President.', 'Ensure that discrepancies are timely and properly rectified as per the agreed action plan;', 'Conduct Operational Risk Assessment in the Department;', 'Measure Internal control staffs performance periodically;', 'Follow up the implementation of the Banks code of conduct', 'Performs other duties as assigned.']",18
JD,Digital Banking,None,Internal Control,,Senior Internal Control Officer,13,Experienced Professional: EP II,"To ensure efficient and effective internal control system in the Digital Channels Management through regular ly checks and monitors financial and non -financial transactions that comply with appropriate laws, and regulations, at the Division","['Daily checks an d monitors financial transactions on local cards (Acquiring and Issuing) and International transactions through VISA, Master Card, CUP and the Card Issuance process;', 'Cheeks timely and proper delivery of Cards and PINS to the requesting organ;', 'Assess the digital banking and operations in compliance with NBE and banks (CBE) internal policy;', 'Monthly cheeks inventory of Cards, PINs and Spare parts and custody of all documents;', 'Checks and monitors all Pool accounts, suspense accounts and their monthly tracers u nder digital banking and report to Manager Internal Control monthly;', 'Checks that all transaction are in compliance with appropriate laws, regulations, ethical norms and contracts in all Units under Digital banking;', 'Ensures and manage positive relationship with customer and among staffs;', 'Verifies & check suspense accounts & work to reduce their balances;', 'Checks the correctness of the GL balances;', 'Identifies the bottleneck and proposes solution that hinder the Units from achieve its Objective;', 'Recommends solution for the Unit to provide efficient and high quality operation;', 'Identifies and reports the reason why tasks are not completed as per the standard timescales; Commercial Bank of Ethiopia Job Description', 'Regularly checks and monitors key financial and non-financial transactions before/after passing transactions;', 'Continuously assess the Units operations, transactions and work practices and report any deviation to Internal control manager daily;', 'Prepare daily/Weekly/Monthly/Quarterly report on major findings as case may be and submit report to the Internal control manager;', 'Measures service levels against customer expectation and bank standard and review customer complaints registration book;', 'Ensure effective and proper utilization of resources;', 'Daily checks and monitors financial and non-financial transactions as soon as transaction completed;', 'File daily ticket (source document);', 'Performs other duties as assigned.']",20
JD,Digital Banking,None,Internal Control,,Internal Control Officer,12,Experienced Professional: EP II,"To ensure efficient and effective internal control system in the Digital Channels Management through regularly checks and monitors financial and non -financial transactions that comply with appropriate laws, and regulations, at the Division.","['Daily checks and monitors financial transactions on local cards (Acquiring and Issuing) and International transactions through VISA, Master Card and CUP.', 'Checks timely and proper delivery of Cards and PINS to the requesting organ.', 'Monthly checks inventory of Cars, PINs and Spare parts and custody of all documents.', 'Checks and monitors all Pool accounts, suspense accounts and their monthly tracers under digital', 'banking and report to Manager Internal Control monthly.', 'Checks that all transaction are in compliance with appropriate laws, regulations, ethical norms and contracts in all Units under Digital banking. Ensures and manage positive relationship with customer and among staffs.', 'Identifies the bottleneck and proposes solution that hinder the Units from achieving its Objective;', 'Recommends solution for the Unit to provide efficient and high quality operation.', 'Identifies and reports the reason why tasks are not completed as per the standard timescales;', 'Regularly checks and monitors key financial and non -financial transactions before/after passing transactions; Commercial Bank of Ethiopia Job Description', 'Continuously assess the Units operations, transactions and work practices and report any deviation to Internal Control Manager daily;', 'Checks the correctness of the GL balances.', 'Prepare daily/Weekly/Monthly/Quarterly report on major findings as case may be and submit report to the Internal control manager', 'Measures service levels against customer expectation and bank standard and review c ustomer complaints registration book;', 'Ensure effective and proper utilization of resources;', 'Daily checks and monitors financial and non-financial transactions as soon as transaction completed', 'File daily ticket (source document)', 'Perform other related duties given by the supervisor (s).']",18
JD,Digital Banking,None,Internal Control,,Associate internal control Officer II,11,Experienced Professional: EP II,"To ensure efficient and effective internal control system in the Digital Channels Management through regularly checks and monitors financial and non -financial tran sactions that comply with appropriate laws, and regulations, at the Division.","['Daily checks and monitors financial transactions on local cards (Acqu iring and Issuing) and International transactions through VISA, Master Card and CUP;', 'Monthly cheeks inventory of Cars, PINs and Spare parts and custody of all documents;', 'Checks that all transaction are in compliance with appropriate laws, regulations, ethi cal norms and contracts in all Units under Digital Banking;', 'Ensures and manage positive relationship with customer and among staffs;', 'Identifies the bottleneck and proposes solution that hinder the Units from achieve its Objective;', 'Recommends solution for the Unit to provide efficient and high quality operation;', 'Identifies and reports the reason why tasks are not completed as per the standard timescales;', 'Regularly checks and monitors key financial and non -financial transactions before/after passing transactions;', 'Continuously assess the Units operations, transactions and work practices and report any deviation to Internal Control Manager daily;', 'Prepare daily/Weekly/Monthly/Quarterly report on major findings as case may be and submit report to the Internal control manager;', 'Measures service levels against customer expectation and bank standard and review customer Commercial Bank of Ethiopia Job Description complaints registration book;', 'Ensure effective and proper utilization of resources;', 'Daily checks and monitors financial and non-financial transactions as soon as transaction completed', 'File daily ticket (source document)', 'Perform other duties as assigned']",15
JD,Digital Banking,None,Internal Control,,Associate internal control Officer I,10,Professional: P II,"To ensure efficient and effective internal control system in the Digital Channels Management through regularly checks and monitors financial and non -financial transactions that comply with appropriate laws, and regulations, at the Division.","['Daily checks and monitors financial transactions on local cards (Acquiring and Issuing) and International transactions through VISA, Master Card and CUP;', 'Checks that all transaction are in compliance with appropriate laws, regulations, ethical norms and contracts in all Units under Digital Banking;', 'Identifies the bottleneck and proposes solution that hinder the Units from achieve its Objective;', 'Recommends solution for the Unit to provide efficient and high quality operation;', 'Identifies and reports the reason why tasks are not completed as per the standard timescales;', 'Regularly checks and monitors key financial and non-financial transactions before/after passing transactions;', 'Continuously assess the Units operations, transactions and work practices and report any deviation to Internal Control Manager daily;', 'Ensure effective and proper utilization of resources;', 'Daily checks and monitors financial and non-financial transactions as soon as transaction completed;', 'File daily ticket (source document);', 'Performs other duties as assigned. Commercial Bank of Ethiopia Job Description']",11
JD,Digital Banking,"Team Leader Merchant and Agent Reconciliation, Team Leader Mobile and Internet Banking Reconciliation, Team Leader International Card Transaction Reconciliation, Team Leader Domestic Card Transaction Reconciliation and Team Leader Mobile Money Reconciliation.",Digital Banking Reconciliation and Dispute Management,,Manager Digital Banking Reconciliation and Dispute Management,15,Middle Level Management: MLM,"To ensure reconciliation a nd settlement of Card Digital Transactions, Mobile Banking (MB), Internet Banking (IB), Mobile Money and Tele -Birr. To ensure proper handling of dispute management and internal/external customer support. To ensure the Units task is performed as per the procedure of Digital Banking. Commercial Bank of Ethiopia Job Description","['Set steam objectives/goals, performance standards, works on team alignment and goal cascading;', 'Plans, directs and coordinat es the activities of the Digital Banking Reconciliation and Dispute Management Unit;', 'Manages the accounts or transactions used to handle both the acquirers and issuers;', 'Ensures timely reconciliation and settlement of any type of cards and transactions rela ted with CBE Birr and Tele-Birr;', 'Timely responds to customers complain and any issues that arise from call center to the level of their satisfaction;', 'Manages disputes that emanated from either of Eth -Switch or any International Card Payment Scheme;', 'Ensures that all transactions are processed accurately and efficiently;', 'Checks existence of effective utilization of physical and financial resources and takes the necessary action if there is any misuse;', 'Ensures effective utilization of budget and manages controllable expenses;', 'Motivates and coaches the team under his supervision for better productivity;', 'Identifies performance quality gap and reports to the Vice- President for further action;', 'Ensures proper understanding and implementation of the Digital Banking Procedure and business objectives by all performers within the team; Shall provide on -the-job training and assistance based on requests;', 'Ensures that all performers in the team discharge duties and responsibilities as indicated in the Digital Banking Procedure; takes appropriate and timely action on performers who contravene;', 'Propose Write - off and Write -back as per the relevant procedure of the Bank and Forward the proposal for Vice- President Digital Banking;', 'Authorizes user access right and privileges of card and CBE birr reconciliation system and infrastructure for concerned staff;', 'Conducts periodic performance evaluation of staffs under Digital Banking Reconciliation and Dispute Management Unit; and']",16
JD,Digital Banking,"Senior Reconciliation and Settlement Officer, Reconciliation and Settlement Officer Associate Reconciliation Officer II, Associate Reconciliation Officer I, Banking Operation Officer, Junior Officer II, Junior Officer I, Bank Trainee.",Merchant and Agent Reconciliation,,Team Leader Merchant and Agent Reconciliation,14,Operative Level Management: OLM II,"To guide/run the operation of Digital Banking Reconciliation and Dispute Management unit incompliance with Digital Banking Procedure and ensure timely reconciliation& settlement of MB and IB, Mobile money and Card related Digital Transactions.","['Supervises, coordinates, assists and assigns tasks to the team;', 'Leads, motivates and manages the Digital Banking Reconciliation and Dispute Management team;', 'Identifies areas of risk and non-compliance with procedures and advises the Manager of Digital Banking Reconciliation and Dispute Management;', 'Reviews the aging report and takes any appropriate action in consultation with the Manager - Digital Banking Reconciliation and Dispute Management team;', 'Keeps track of lessons learned and shares those lessons with team members;', 'Analyzes the genuineness of expenses incurred in relation with his/her area of assignment;', 'Checks and authorizes Income and Expense settlement transaction entries on T24 an d Mobile Money system;', 'Closely follows up that charges, fees and commissions are properly settled; Commercial Bank of Ethiopia Job Description', 'Ensures that all transactions are processed accurately and efficiently;', 'Follows up of case escalated to and from different teams and updates the concerned ones;', 'Ensures that all performers in the team discharge duties and responsibilities as indicated in the Digital Banking Procedure;', 'Coordinates and assigns tasks to teams;', 'Conducts periodic performance evaluation of staffs under Digital Banking Reconciliatio n and Dispute Management Unit;', 'Organizes and involves in the activities of the team;', 'Performs other duties as assigned.']",15
JD,Digital Banking,None,Merchant and Agent Reconciliation,,Reconciliation and Settlement Officer,12,Experienced Professional: EP II,To ass ure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of reconciliation and suspense settlement.,"['Maintains a continuous follow up of settlement accounts;', 'Check posted transactions, reconciles and balances of all account receivable, payable accounts and accounts that have suspense nature on a daily basis;', 'Check and authorize financial and non-financial activities on Mobile money system;', 'Approve daily third party standing instructions on Mobile Money system;', 'Maintains tickets, reports and tracer or evidential document under her/his custody for further reference;', 'Prepares suspense aging report and forwards to the Team leader and Manager on monthly basis;', 'Performs other duties as assigned.']",7
JD,Digital Banking,None,Merchant and Agent Reconciliation,,Associate Reconciliation Officer II,11,Experienced Professional: EP II,"To assure the expected activities under Digital Banking Reconciliation and Dispute Management are going as per the procedure and to perform tasks that improve the quality of reconciliation, suspense settlement and dispute management.","['Processes merchant file, checks the status of failed transactions and reprocess, forwards merchant file report to the concerned;', 'Process manual refunds on Card Banking system;', 'Maintains a continuous follow up for settlement of the account and post transaction entries;', 'Generate reports from international payment scheme, Eth -switch, Mobile Money, Core Banking, Card Banking, International Money Transfer Services, Business Intelligence and third parties system for day to day activities;', 'Checks and release all unsuccessful POS locked transaction on Core banking;', 'Reconciles and settles acquiring and issuing Card related transactions made through International Scheme, Eth-switch, Mobile& Internet Banking and Mobile Money;', 'Check and settle exception tra nsactions, related charges and commissions/ revenue and other relevant information and informs the concerned organs;', 'Prepares daily, weekly, monthly and quarterly reconciliation report and forwards to concerned staff;', 'Receives and handles any dispute tra nsaction obtained through call center, Customers application, e-mail, Branch and other organs; Commercial Bank of Ethiopia Job Description', 'Generates and collects source document for dispute transactions from ATM, Card Banking, International Payment Scheme, Mobile Money, merchants and third parries;', 'Timely follows up and settles claims from a merchant related with dispute transaction amount and fees ( if any) as per Banks procedure, Payment facilitators scheme and Third party contractual agreement;', 'Prepares and organizes adjustment document for posting of disputed transaction;', 'Process daily third party standing instructions on Mobile Money system;', 'Performs other duties as assigned.']",14
