division,department,perspective,strategic_objective,division_objective,department_objective,unit_objective
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Enhance Revenue Generation,,Additional Revenue/Income generation
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Enhance Revenue Generation,,Achieve non-interest income target
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Enhance Revenue Generation,,Expand the digital micro saving  and lending business
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Manage Operational Expense,,Manage Expense of the Dep’t
Digital Banking Division,Online Banking ,Sustainable Growth,Increase Resource Mobilization,Enhance Strategic Partnership,,Establish Strategic Partnership integration and Fintech Collaboration
Digital Banking Division,Online Banking ,Customer Centricity,Elevate Customers’ Experiences,Enhance Customer Experience,,Ensure customer satisfaction on the online products & services
Digital Banking Division,Online Banking ,Customer Centricity,Elevate Customers’ Experiences,Enhance Customer Experience,,Enhance Fraud Mitigation mechanism  & product Awareness
Digital Banking Division,Online Banking ,Customer Centricity,Increase Digital Banking Penetration,Digital Banking Channels (Users) Activation,,"Enhance recruitments, Activation & transaction of Online banking products and services"
Digital Banking Division,Online Banking ,Customer Centricity,Increase Digital Banking Penetration,Digital Banking Channels (Users) Activation,,"Expand existing and new Online channels and transaction of Fintech, Operator and Billers."
Digital Banking Division,Online Banking ,Customer Centricity,Increase Digital Banking Penetration,Digital Banking Channels (Users) Activation,,Ensure smooth payment automation
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,Enhance digital channels functionality & features,,Ensure implementation of additional/enhanced features & functionalities
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,Enhance digital channels functionality & features,,Enhancing key digital financial services
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,DB Product Brand Reputation,,Improve User Perception and Brand reputation
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,DB Product Brand Reputation,,Increased Customer Engagement
Digital Banking Division,Online Banking ,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance Digital Banking security & Compliance,,Enhance Online platform's capabilities &  strength of security features
Digital Banking Division,Online Banking ,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance Digital Banking security & Compliance,,Ensure full compliance on NBE directives and regulations for digital financial activities
