division,department,perspective,strategic_objective,division_objective,department_objective,unit_objective
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Enhance Revenue Generation,,Additional Revenue/Income generation
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Enhance Revenue Generation,,Achieve non-interest income target
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Enhance Revenue Generation,,Expand the digital micro saving  and lending business
Digital Banking Division,Online Banking ,Sustainable Growth,Ensure sustainable profitability,Manage Operational Expense,,Manage Expense of the Dep’t
Digital Banking Division,Online Banking ,Sustainable Growth,Increase Resource Mobilization,Enhance Strategic Partnership,,Establish Strategic Partnership integration and Fintech Collaboration
Digital Banking Division,Online Banking ,Customer Centricity,Elevate Customers’ Experiences,Enhance Customer Experience,,Ensure customer satisfaction on the online products & services
Digital Banking Division,Online Banking ,Customer Centricity,Elevate Customers’ Experiences,Enhance Customer Experience,,Enhance Fraud Mitigation mechanism  & product Awareness
Digital Banking Division,Online Banking ,Customer Centricity,Increase Digital Banking Penetration,Digital Banking Channels (Users) Activation,,"Enhance recruitments, Activation & transaction of Online banking products and services"
Digital Banking Division,Online Banking ,Customer Centricity,Increase Digital Banking Penetration,Digital Banking Channels (Users) Activation,,"Expand existing and new Online channels and transaction of Fintech, Operator and Billers."
Digital Banking Division,Online Banking ,Customer Centricity,Increase Digital Banking Penetration,Digital Banking Channels (Users) Activation,,Ensure smooth payment automation
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,Enhance digital channels functionality & features,,Ensure implementation of additional/enhanced features & functionalities
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,Enhance digital channels functionality & features,,Enhancing key digital financial services
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,DB Product Brand Reputation,,Improve User Perception and Brand reputation
Digital Banking Division,Online Banking ,Digital First,Increase Products and Services,DB Product Brand Reputation,,Increased Customer Engagement
Digital Banking Division,Online Banking ,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance Digital Banking security & Compliance,,Enhance Online platform's capabilities &  strength of security features
Digital Banking Division,Online Banking ,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance Digital Banking security & Compliance,,Ensure full compliance on NBE directives and regulations for digital financial activities
Digital Banking Division,Card,Financial perspective,Ensure Sustainable Growth and Profitability,Utilization of budget as per approved limit,Ensure proper management of expenses,Proper management of controllable & other expenses as per the budget
Digital Banking Division,Card,Financial perspective,Ensure Sustainable Growth and Profitability,Generate commission income of card transaction (local and foreign),Develop proposal how to generate the incomes,Implement strategies and effective utilization of monitoring systems to achieve the income
Digital Banking Division,Card,Financial perspective,Ensure Resource Mobilization,Expand International Card Acquiring to earn FCY,"Initiate, validate and give direction for execution of different proposals and counter proposals for acquiring international cards",Prepare different proposals and counter proposals and train staffs for execution
Digital Banking Division,Card,Customer perspective,Enhance customer recruitment,Ensure the card production and delivery plan is fulfilled,Create conducive environment for proper production and delivery of cards,Ensure proper personalization of card information & delivery as per SDT
Digital Banking Division,Card,Customer perspective,Enhance customer recruitment,Ensure the card production and delivery plan is fulfilled,Create conducive environment for proper production and delivery of cards,Ensure technical input executed as per procedure
Digital Banking Division,Card,Customer perspective,Enhance digital penetration,_,"Devise different marketing and sales strategies, create conducive approach for partners",Implement the marketing and sales strategies
Digital Banking Division,Card,Customer perspective,Enhance digital penetration,Enhance the existing products related to card products,Validate different documents for product development/enhancement,Produce different documents
Digital Banking Division,Card,Customer perspective,Elevate customer experience,Ensure continuous improvement by selecting and handover to the right vendor,"Validate requests of partners related to cards, selection criteria and ensure the selected partner is to the expected level thereof",Set partner selection criteria in consultation with different stakeholders
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,_,_,Utilization of budget as per approved limit,Proper management of controllable & other expenses as per the Budget
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,_,_,_,_
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Sustainable Profitability,Operational Efficiency and Cost Management,Increasing revenue and profitability through effective management of Merchant and Agents while maintaining cost efficiency,Provide better incentive structures to merchant and Agents
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Sustainable Profitability,Operational Efficiency and Cost Management,_,_
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Sustainable Profitability,Operational Efficiency and Cost Management,_,Focus on active Merchant and Agents and direct efforts to improve Value / Volume
Digital Banking Division,Merchant and Agent Management,Sustainable Growth,Ensure Resource Mobilization,Enhance Revenue Generation,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,Implement/provide kiosk model for rural area agents
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,Implement loyalty program for CBE Birr merchant
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,"Ease the communication channel to branches, Agents and districts for strong relationship building"
Digital Banking Division,Merchant and Agent Management,Customer centric,_,_,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,_,_,Incorporate additional services and use cases on Agency banking
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,_,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,Enhance merchant and agent management product and service,_,Proposed Attractive reward and recognition scheme for agents and merchant
Digital Banking Division,Merchant and Agent Management,Customer centric,Elevate customer Experience,Enhance merchant and agent management product and service,_,_
Digital Banking Division,Merchant and Agent Management,Customer centric,_,Enhance Customer Experience in the division,Enhance customer engagement and feedback integration,Decentralization of super-agents activation
Digital Banking Division,Merchant and Agent Management,Customer centric,_,Enhance Customer Experience in the division,Enhance customer engagement and feedback integration,Segmentation of agents for marketing fit
Digital Banking Division,Merchant and Agent Management,Digital First,_,_,_,_
Digital Banking Division,Merchant and Agent Management,Digital First,_,_,_,Implement a POS terminal monitoring tool and agent monitoring tools
Digital Banking Division,Merchant and Agent Management,Digital First,_,Enhance Financial Inclusion,_,_
Digital Banking Division,Merchant and Agent Management,Digital First,_,Enhance Financial Inclusion,Focus on unbanked population to avoid agent cannibalization,Integrate Virtual POS functionality with Merchant App/Portal
Digital Banking Division,Digital Banking Reconciliation,Financial perspective,Ensure Sustainable Profitability,Manage expenses,Effective utilization of expenses,_
Digital Banking Division,Digital Banking Reconciliation,Financial perspective,Ensure Financial Soundness,Suspense Management,Effective utilization of expenses,_
Digital Banking Division,Digital Banking Reconciliation,Customer perspective,Elevate customer experience,Expand and enhance digital service reconciliation and dispute management,Enhanced Customer Experience,_
Digital Banking Division,Digital Banking Reconciliation,Internal business process perspective,Improve Process Efficiency & Effectiveness,Ensure continuous improvement of Process Efficiency & Effectiveness,Present different procedures and guideline for approval,_
Digital Banking Division,Digital Banking Reconciliation,Internal business process perspective,_,_,_,_
Digital Banking Division,Digital Banking Reconciliation,Learning and growth perspective,Improve employee satisfaction and engagement,Improve employee engagement,_,_
Digital Banking Division,Digital service devlopment,Sustainable Growth,Ensure Sustainable Profitability,Enhance Revenue Generation,Utilization of budget as per approved limit,Proper management of controllable & other expenses as per the Budget
Digital Banking Division,Digital service devlopment,Sustainable Growth,Ensure Resource Mobilization,Enhance Revenue Generation,Implement initiatives to generate planned FCY resource in the department,"Enhance new revenue streams through joint offerings, shared revenue models, or cross-selling opportunities"
Digital Banking Division,Digital service devlopment,Sustainable Growth,Ensure Resource Mobilization,Enhance Revenue Generation,_,_
Digital Banking Division,Digital service devlopment,Customer Centric,Elevate Customer Experience,Elevate Customer Experience on the division,Oversee the creation and enhancement of customer-centric CVPs for digital channels in the department,"Establish reliable, secure, and transparent partnerships that foster trust among customers and partners"
Digital Banking Division,Digital service devlopment,Customer Centric,Elevate Customer Experience,Elevate Customer Experience on the division,Oversee the creation and enhancement of customer-centric CVPs for digital channels in the department,Deliver superior digital value to customers while achieving strategic business benefits for all partners involved
Digital Banking Division,Digital service devlopment,Customer Centric,Elevate Customer Experience,"Translate CVPs into actionable product concepts, journeys, and digital experiences in the division","Drive adoption of customer journey mapping, design thinking, and user testing in service development in the department",Assess partner capabilities and align integrations with service goals and experience standards
Digital Banking Division,Digital service devlopment,Digital First,Increase Digital Banking Penetration,Enhance digital channels functionality & features (Offering diversified and innovative DB product and service),Improves digital channel functionality and features in the department,Collaborate with partners to integrate complementary services efficiently
Digital Banking Division,Digital service devlopment,Digital First,Increase Digital Banking Penetration,Enhance digital channels functionality & features (Offering diversified and innovative DB product and service),Improves digital channel functionality and features in the department,Work closely with IT/Digital Factory teams to align business requirements with technical delivery
Digital Banking Division,Digital service devlopment,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance risk and fraud management in the division,Enhance risk and fraud management in Agent management operations,Conduct regular fraud awareness training for employees and agents
Digital Banking Division,Digital service devlopment,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance risk and fraud management in the division,Enhance risk and fraud management in Agent management operations,Establish robust monitoring and detection mechanisms to identify suspicious activities
Digital Banking Division,Digital service devlopment,Secure & Risk-Conscious Banking,Improve Risk Management and Compliance,Enhance risk and fraud management in the division,Enhance risk and fraud management in Agent management operations,_
